mot,score
trent,3.2656261572674965
ables,3.3822882953002056
inant,3.5652801479171194
conts,3.6069852153294764
bours,3.6754026340769856
crait,3.7442041607790806
pards,3.7649743508505873
brent,3.822399239083228
brant,3.8288850037666666
intes,3.831649490604681
monne,3.901314742882955
vions,3.9498017126345415
exant,3.9510522019573147
derait,3.963635542386096
asser,3.964719780776136
cards,4.0410341475382845
relle,4.063235067859454
quent,4.084022879496348
crent,4.119561684637294
cates,4.170563618583756
endes,4.203616956776269
graie,4.211572638262631
fantes,4.214413582992389
maiez,4.230072615520062
calis,4.232678203683474
tries,4.246097648287638
ineur,4.288346850175487
pules,4.292785750823613
bions,4.304578506607713
illes,4.341991056492281
gique,4.345174148654579
balis,4.371667049097575
rerai,4.377665022977678
acque,4.3805627860990235
rante,4.385514229859829
conis,4.403538538485805
poles,4.412359753088209
conge,4.42065650501062
vants,4.476589956306458
prait,4.517403740313862
sents,4.526613230230861
assai,4.538037598049421
bante,4.542327437924856
inage,4.553522995895699
catis,4.5930407783512965
teurs,4.629035297182761
tages,4.6410736315146215
catit,4.649642286820429
rable,4.650619816610902
rours,4.654346084723772
feurs,4.6551627520130525
souis,4.660849887923834
adait,4.677076150829299
caiez,4.686535952898862
conds,4.692168174731185
lages,4.718389728460176
cater,4.7208682975713065
trage,4.725935633962301
deurs,4.737490709807168
reque,4.773582766589495
patit,4.775004864379967
bares,4.7847264664484435
dines,4.797682579797898
corge,4.80198096376101
trise,4.8053641312497835
galis,4.823672279383979
gonne,4.830080805463272
sille,4.831487996398568
giente,4.836947652796137
tures,4.838639840601241
cides,4.839720774415223
gotes,4.864016703100803
atiez,4.8646859318817635
corit,4.884724627826988
surse,4.884752455966375
rains,4.929345778363081
gasse,4.951884386788875
suche,4.960256864623065
blers,4.963435000634019
foris,4.966543129579171
cions,4.970024459760056
laier,4.972473848385854
manis,4.981782067559072
foues,4.991644634745408
coner,4.999505101883537
porde,4.999587067244066
obste,5.001170193369093
tates,5.001744996105188
agues,5.004048946695314
proins,5.0232415367079595
suris,5.038062069776001
carit,5.043883827819206
caies,5.060654816921194
bores,5.071807075258994
indra,5.093699329841133
gouse,5.117669209175448
raien,5.129349959743499
prins,5.132213011769185
porit,5.132965019483102
catie,5.140972023738038
atait,5.144047346217951
congs,5.152999752969376
ouses,5.1647559928792885
ingle,5.168176908043604
poure,5.170367590974207
gates,5.171109669411595
grair,5.194221061858159
luses,5.22150489698107
poise,5.2234680072512445
cager,5.2337224528222634
ocher,5.256642512115491
couer,5.264694097397887
andis,5.265645890903068
reron,5.280751597110965
porie,5.294191401306735
moure,5.305159592537459
comie,5.313852822880917
audis,5.334799164106069
frour,5.361707892280004
rodes,5.386755960766657
mable,5.407436236991947
touit,5.420316733501293
mague,5.428769985797031
puttes,5.443459988169433
pints,5.466345231667801
regra,5.486614566795227
aleux,5.490722799836771
seuse,5.492141718152068
ralle,5.493868772201579
culis,5.4945406485207995
enses,5.5038488818443545
cyche,5.514451476717876
refes,5.526798923387809
rerne,5.5277572315201455
hablit,5.53235473601218
ralit,5.548306798698613
tives,5.554389184246419
neurs,5.559260714908616
asait,5.566494253948651
viers,5.57047818159282
suste,5.574319529701525
aules,5.583788432535338
incel,5.590208808506098
prera,5.59086403786823
borge,5.591478518733529
chane,5.592391771879767
comez,5.603586439437559
tringe,5.609765067408383
phies,5.613507663686059
dints,5.615333045859974
achon,5.618472819623634
garis,5.624504119013418
muner,5.624845225847996
alera,5.625187994016316
divit,5.633657757158128
catra,5.661775599367724
milis,5.682779219856102
rapit,5.709936359978761
camis,5.727939242635691
refer,5.737171082318417
tains,5.737881357224017
effai,5.7509346963679135
chete,5.779355934824249
lides,5.7841477673169805
direr,5.786553270325544
trane,5.792644944757243
lemes,5.796480793185432
nules,5.818013493740654
fectif,5.829204798611249
anais,5.8423322881857995
abile,5.843592067650142
bussez,5.845295857497699
flate,5.883999699662346
abale,5.886510158697622
inote,5.895317125426155
ionne,5.9006016547872
haise,5.904519735526443
slait,5.908093528457783
ordis,5.912063929463129
rapes,5.918213054063917
irens,5.921218083231481
potai,5.970796341096979
difire,5.972459891571823
moira,5.978775022178921
mirai,5.979996698845109
plois,5.980716290719992
phots,5.995623444115871
crien,6.0022140433395785
sider,6.052175703092288
batre,6.052738685009793
galie,6.054015908501819
myses,6.068323558225637
imeure,6.0684092962430505
logre,6.098060853913619
plice,6.108163102113892
zonne,6.114423374511882
econs,6.142950046777863
cupes,6.150695208009375
sayez,6.154179613404309
orier,6.160177278730435
emena,6.169035073326411
sunis,6.180474623208223
pands,6.188471779325705
hates,6.190213922957225
clier,6.21096573804925
fater,6.233400101746078
faler,6.240792883962436
majuge,6.24736674973908
urait,6.255107109215426
inien,6.261224718838895
broue,6.276560567849821
minve,6.3371240419322135
gatie,6.374325528489089
comat,6.381292048201401
afron,6.382227325267912
wisses,6.383021009069999
valai,6.402565420982083
ferion,6.4115415631066
ludes,6.441044834489224
voier,6.444279487607215
kette,6.44687883305409
culame,6.478306118021471
arnez,6.508889149865903
cauts,6.510303261103583
sonfie,6.533088344688245
perat,6.5375744718702995
engle,6.542464268492929
fenne,6.545966321790112
acaux,6.5491634932507194
giser,6.551207388207523
voleus,6.551616103951412
atile,6.566293401100314
abers,6.628300014360499
bacte,6.643507618216044
diums,6.6465295527664505
grail,6.6584275157937585
gaurs,6.664595166962472
exhas,6.669678613162417
lumer,6.6993053647180245
annai,6.705953435244669
acate,6.726629711332581
bitai,6.7394306316532155
toxis,6.755786291664868
bacit,6.778724691099405
pouie,6.781029135885384
trelon,6.791447366512351
pardu,6.794894307508753
preais,6.79604889629771
boyes,6.799202923783189
assir,6.809833881131801
camen,6.822430671975069
onses,6.836118209805323
daler,6.840668987331951
quaile,6.844190402765573
runie,6.864301085284088
veait,6.8918595471665665
boier,6.934815907453805
alive,6.938148180783761
pauts,6.957649644336989
dival,6.978728205815077
hater,7.007010883099034
ineau,7.043105973139596
exifs,7.093057323375253
cocce,7.11077315912469
busit,7.142511268651118
crial,7.148770735274437
bagie,7.175988550784408
penve,7.1776128037153555
mitte,7.192035266370652
tiond,7.195342810963204
chopie,7.202627639245491
dicue,7.217646865142333
puyai,7.226409784183508
matal,7.251791460845998
hurse,7.253237597701581
idans,7.311604006851088
ettez,7.314130934933942
crias,7.318906206453368
progs,7.31947717656497
capel,7.3423262763751564
bochas,7.3708943623299215
ponai,7.371436065747056
rigna,7.3747400759587896
irate,7.410593717566128
cablia,7.429608616054782
incai,7.435669554467499
saurne,7.4424070072032835
tralif,7.4773308152888
ematir,7.481962759883534
aitit,7.48890963820938
clana,7.491401924007284
entro,7.494050658779627
mysai,7.528745034309051
