mot,score
pront,3.37293312875337
prent,3.407532690022737
inces,3.715991083537353
plait,3.7852453142665
frons,3.811130109595754
imant,3.817952703163306
brent,3.822399239083228
ments,3.8319125818462236
suble,3.8590326135804895
mique,3.9478387239179966
saiez,3.9521055978699278
ation,3.9845967232310526
pents,4.003040166523838
saites,4.013075985602579
inges,4.025752816228175
relle,4.063235067859454
reurs,4.078320038458454
quent,4.084022879496348
ences,4.087993130617008
siont,4.109705404844827
stent,4.122337385395657
cates,4.170563618583756
comes,4.171291162025198
alles,4.18185518026832
lants,4.209977951130273
drait,4.210447279284397
calis,4.232678203683474
bards,4.237956433020679
tries,4.246097648287638
saies,4.267596030810454
comit,4.2898855262581765
stant,4.2916177698946
pules,4.292785750823613
mours,4.29279214378467
crais,4.338865689046631
quait,4.4173965509999045
cones,4.429240770573595
exons,4.4705726885614
asient,4.501324143831261
clais,4.505202015885044
glait,4.50877503419177
vales,4.520409720244505
gront,4.535731060696482
inaie,4.542983455512233
saite,4.544782122625399
fores,4.547353525140325
trion,4.557669812372752
cares,4.562397783727761
sonts,4.57953616861094
atter,4.6058053134647245
motes,4.620918785868085
flons,4.632468352289599
dives,4.637106195105763
prots,4.640535818090758
acces,4.664619464926512
paque,4.671750951706605
adait,4.677076150829299
semes,4.680496742492391
enturs,4.698480063868064
soues,4.699147303062674
enait,4.700476720402815
souit,4.707256434904146
lages,4.718389728460176
potte,4.736209430805287
entai,4.745609410909608
coris,4.757206360376527
abons,4.78080990342462
dices,4.784248940729492
polle,4.794277756798387
bable,4.801177556871019
humes,4.807999265011823
clent,4.811046158231207
encer,4.820990716995067
emets,4.826063691038997
maier,4.82877895746772
cides,4.839720774415223
taier,4.874687913760114
taque,4.880062483661467
marte,4.885568189295134
emeur,4.903326036721273
ordes,4.908961907011991
hales,4.914575894716638
alons,4.9322008830416895
reles,4.94857684924801
proit,4.964782668672545
laier,4.972473848385854
poris,4.998966307981634
sumes,5.023351015752064
lates,5.041260060590444
sonse,5.045777179606914
faier,5.068350575297829
remen,5.075286653007725
pesses,5.079050382017449
trifs,5.09490044059726
aphis,5.095864028172306
surds,5.109884156618892
inier,5.11188996215712
laiers,5.1256129595188265
reint,5.1335480586391755
geait,5.137472147075046
catie,5.140972023738038
mutes,5.144428378143428
appos,5.149680114805061
valit,5.153685770283858
sique,5.153747219858218
laise,5.156663599706821
talis,5.158358723411935
inens,5.158607116382202
excle,5.1844156716483605
