mot,score
rent,2.6595574481722193
mant,3.023001804053733
mations,3.025202679878412
cont,3.029136682775327
entes,3.1763243170830378
mationnes,3.1944566937106083
rents,3.226321576940445
ents,3.2381843683430627
sant,3.3180255115012653
grait,3.3243205198050876
cant,3.3256735561447495
ines,3.354321244393291
rettes,3.3648194362616337
ables,3.3822882953002056
graients,3.383938786699093
trant,3.3981431890911247
rant,3.4882016540083036
pant,3.496743134496487
inationnes,3.5031628927501637
tres,3.530999621329529
recons,3.559744233457197
traiez,3.5630214104647266
inant,3.5652801479171194
sions,3.5827164323706735
monnes,3.606101806414006
conts,3.6069852153294764
ches,3.616858431135453
asses,3.6262354951061986
lant,3.627801972648954
bant,3.6341469314871624
ques,3.656993107622509
mation,3.6575558256520035
rons,3.6670100275913753
raiez,3.668554990475395
bours,3.6754026340769856
pres,3.710651461634175
rette,3.715922487511743
inces,3.715991083537353
antes,3.7496895916390995
cantes,3.75301182338982
pron,3.7693571657557166
raisse,3.786628205858025
grients,3.7968441639963357
crailles,3.8198844088992523
mait,3.834506355848033
bles,3.8462531351801372
iner,3.86339103446336
chette,3.8637072542186788
hant,3.8778028911117364
chetter,3.878576479001345
clait,3.887743327849713
vant,3.8972265248943785
carbilles,3.906819492140055
fraiez,3.922262405312499
proules,3.922422739285627
rences,3.9578962413532497
ardes,3.9623518657402057
ation,3.9845967232310526
assaites,3.9940158304562674
comille,4.021316409144504
ints,4.030318138121381
saisse,4.041517688934506
tront,4.050010305495264
trai,4.055934423938047
abler,4.064118628419847
ences,4.087993130617008
apper,4.132267657251131
stes,4.144899842331694
gres,4.162877335633311
graite,4.167362114976386
glant,4.175374930777763
ades,4.1762761260620245
bait,4.177631509936166
alles,4.18185518026832
assaies,4.187466244774827
arait,4.209226685951098
cante,4.209774556506231
catte,4.212864854176121
gues,4.220206302918174
achetter,4.226405066973523
claiez,4.229194269302519
calis,4.232678203683474
tretter,4.234688319691715
ales,4.238269775241065
ince,4.242303355921151
tries,4.246097648287638
grai,4.2463525860493405
maites,4.258991322645255
reller,4.263634335687912
maistes,4.28131933283408
hons,4.305754562567508
prez,4.312204118679608
cait,4.321464476524595
couit,4.342652563383838
coute,4.352430899632697
cole,4.359085111919395
rerai,4.377665022977678
clante,4.3813652197800685
carais,4.3818460022686265
rante,4.385514229859829
friez,4.392532345967616
conis,4.403538538485805
mance,4.408627501450207
inge,4.437788214360543
dille,4.438846797832086
faiez,4.439940441106021
vait,4.445523588299745
