mot,score
rent,2.6595574481722193
traient,2.900738272924094
prons,2.9404207249079937
mant,3.023001804053733
cont,3.029136682775327
saient,3.0954846436801646
inaient,3.1723303761762964
entes,3.1763243170830378
conner,3.2178128799856704
rents,3.226321576940445
ents,3.2381843683430627
trent,3.2656261572674965
maient,3.2851713458986223
sant,3.3180255115012653
grait,3.3243205198050876
cant,3.3256735561447495
ines,3.354321244393291
frient,3.395308795264257
trant,3.3981431890911247
perait,3.4133849542609953
pent,3.4206243809981394
faient,3.4273517823047635
rant,3.4882016540083036
pant,3.496743134496487
crons,3.502879145582722
rerait,3.5201826715509523
tions,3.52153390254893
trons,3.530676056649447
tres,3.530999621329529
grant,3.534437899504678
inant,3.5652801479171194
frait,3.5669922669020155
inait,3.5859130114693674
clant,3.6002652395168906
mants,3.6007227179877614
monnes,3.606101806414006
ches,3.616858431135453
cronnes,3.623869401930694
asses,3.6262354951061986
lant,3.627801972648954
raierait,3.6323042895191424
bant,3.6341469314871624
appent,3.6521614600758676
ques,3.656993107622509
rons,3.6670100275913753
raiez,3.668554990475395
pres,3.710651461634175
rette,3.715922487511743
prours,3.7239218347206893
crait,3.7442041607790806
antes,3.7496895916390995
dions,3.750098770502875
cattes,3.755422336738362
resses,3.756281065386248
ronnes,3.7664410014686847
pron,3.7693571657557166
verait,3.772447446147573
plait,3.7852453142665
coles,3.7946696168903937
saierait,3.826623007058463
surait,3.8281666466335107
mait,3.834506355848033
reraiez,3.835796074646311
bles,3.8462531351801372
grais,3.8522953405870646
alient,3.8564318579877916
sours,3.8574755737821333
exient,3.859389330011376
pons,3.8711243369159036
hant,3.8778028911117364
fant,3.881705453386668
clait,3.887743327849713
ants,3.9299207820599213
inaiez,3.9404609657625653
connons,3.945528777066257
mique,3.9478387239179966
ingent,3.951320000409038
marait,3.9556339234002973
ardes,3.9623518657402057
rairait,3.9947559094866856
cules,3.9979324714943396
insions,4.000353909723263
cherai,4.004573370952905
saites,4.013075985602579
rens,4.023148300029412
trai,4.055934423938047
resser,4.06134620865336
relle,4.063235067859454
colait,4.063700998724249
carant,4.063804369748688
conons,4.066536436228912
resse,4.0680211082541495
visses,4.069812019851337
pait,4.07297467651641
reurs,4.078320038458454
rerairait,4.079474619530672
connis,4.086144434383975
ennes,4.094403505287054
ronne,4.100182624656438
trez,4.103428001143393
condionne,4.129034749941916
affes,4.134718265870651
saitait,4.1364946820562505
prour,4.13674593991627
stes,4.144899842331694
fles,4.1501395469148
ades,4.1762761260620245
bait,4.177631509936166
catter,4.185598123213654
sante,4.201475012305177
lons,4.2075385348402
inez,4.209416557150012
graie,4.211572638262631
surez,4.217094535763742
raite,4.218708919510379
gues,4.220206302918174
nons,4.2247398619502645
coraiez,4.229511317877857
maiez,4.230072615520062
chera,4.232085331666215
ales,4.238269775241065
bres,4.242893989737181
grai,4.2463525860493405
ponne,4.295042903860768
scules,4.296219739062658
cait,4.321464476524595
crais,4.338865689046631
reme,4.340660076036679
appente,4.34169513388134
assion,4.347238927438439
